epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.174,1.60282,4.91705,1.3754,0.42393,0.05119,0.04491,0.02876,1.27203,3.69161,1.1725,2.73778e-05,2.73778e-05,2.73778e-05
2,530.593,1.25924,2.74963,1.11901,0.54046,0.30056,0.31818,0.22059,1.12566,1.73402,1.10968,5.26366e-05,5.26366e-05,5.26366e-05
3,829.003,1.14899,1.52302,1.06922,0.74076,0.54428,0.57599,0.41203,1.07549,1.05313,1.09522,7.51234e-05,7.51234e-05,7.51234e-05
4,1071.25,1.09764,1.10723,1.05314,0.68295,0.73529,0.75264,0.54412,1.0363,0.83853,1.06909,7.1526e-05,7.1526e-05,7.1526e-05
5,1294.64,1.06383,0.92032,1.0416,0.79773,0.76759,0.82686,0.60942,1.01927,0.72223,1.06897,6.7368e-05,6.7368e-05,6.7368e-05
6,1597.34,1.03156,0.81177,1.01793,0.78369,0.83906,0.85939,0.62801,1.01806,0.65872,1.06545,6.321e-05,6.321e-05,6.321e-05
7,1808.84,1.02414,0.75895,1.02352,0.87168,0.79228,0.87777,0.64696,1.0037,0.64077,1.05727,5.9052e-05,5.9052e-05,5.9052e-05
8,2067.25,0.99137,0.70493,1.01571,0.84461,0.85548,0.89405,0.66035,0.99613,0.61873,1.04897,5.4894e-05,5.4894e-05,5.4894e-05
9,2332.93,1.00833,0.72174,1.02632,0.83929,0.85336,0.92481,0.6815,0.98606,0.57969,1.05069,5.0736e-05,5.0736e-05,5.0736e-05
10,2625.73,0.96569,0.62773,0.99231,0.89008,0.83481,0.93511,0.68772,0.99817,0.56564,1.04844,4.6578e-05,4.6578e-05,4.6578e-05
11,2912.86,0.94317,0.58004,1.01283,0.84973,0.86203,0.9349,0.69138,0.98604,0.55987,1.04257,4.242e-05,4.242e-05,4.242e-05
12,3173.74,0.92147,0.54704,1.00991,0.86847,0.87583,0.93592,0.69704,0.98209,0.54731,1.04416,3.8262e-05,3.8262e-05,3.8262e-05
13,3410.45,0.90511,0.52946,1.00753,0.82796,0.91263,0.93754,0.69198,0.98792,0.53689,1.04627,3.4104e-05,3.4104e-05,3.4104e-05
14,3687.72,0.89325,0.50898,0.98776,0.89022,0.86488,0.93829,0.6996,0.97542,0.52903,1.03849,2.9946e-05,2.9946e-05,2.9946e-05
15,3911.79,0.88194,0.49116,0.98294,0.86022,0.89619,0.94106,0.70028,0.97621,0.52261,1.04018,2.5788e-05,2.5788e-05,2.5788e-05
16,4151.81,0.86788,0.48802,0.98248,0.87897,0.87169,0.9391,0.69459,0.99346,0.52632,1.05206,2.163e-05,2.163e-05,2.163e-05
17,4435.33,0.8611,0.47414,0.97734,0.8449,0.90661,0.94,0.70032,0.9744,0.51516,1.03977,1.7472e-05,1.7472e-05,1.7472e-05
18,4708.24,0.85941,0.48412,0.99039,0.83209,0.91805,0.94103,0.70544,0.96897,0.51325,1.03682,1.3314e-05,1.3314e-05,1.3314e-05
19,4934.69,0.8481,0.46509,0.97581,0.86796,0.89004,0.94274,0.70351,0.97229,0.51362,1.03752,9.156e-06,9.156e-06,9.156e-06
20,5164.48,0.84517,0.47277,0.97231,0.83467,0.91926,0.94143,0.70373,0.96966,0.50913,1.03724,4.998e-06,4.998e-06,4.998e-06
